,Unnamed: 0,Depth,Test,size,Max,Features,Samples,Accuracy,Dataset Time,Training Time,Total Time
0,0,1,,0.25,,20,5000000,0.6591577982341266,303.1817238889634,124.89352710265665,429.7121804407798
1,1,16,,0.25,,20,5000000,0.9238948091770376,139.21965525625274,1437.5670920349658,1578.5140717313627
2,2,31,,0.25,,20,5000000,0.9160206170557096,137.59595877490938,2136.313112413045,2275.9509912682693
3,3,46,,0.25,,20,5000000,0.9124751106570786,139.291988927871,2581.6682179379277,2723.1147523289546
4,4,61,,0.25,,20,5000000,0.9113047415548231,138.3239985271357,2848.409622042905,2988.9064383879304
5,5,76,,0.25,,20,5000000,0.911203144236992,139.26931175403294,2945.614665811881,3087.1069615241136
6,6,91,,0.25,,20,5000000,0.9108255542053688,138.5547089627944,3005.243033082225,3146.048845096957
7,7,106,,0.25,,20,5000000,0.9109815500870776,139.88520994689316,3016.3688535811375,3158.524103160948
8,8,112,,0.25,,20,5000000,0.9107735555781328,307.4788751723245,2998.8552918932396,3308.6010825363924
9,9,112,,0.25,,20,5000000,0.9108855526214108,272.39171537803486,3007.9598361901008,3282.5657460121442
10,10,112,,0.25,,20,5000000,0.9108415537829802,139.38474852638322,3010.426809205208,3152.065501200967
11,11,112,,0.25,,20,5000000,0.9110711477217002,139.21307321731,3025.8575643417425,3167.4584756153636
12,12,112,,0.25,,20,5000000,0.9109383512275276,138.23466665204614,3023.583784533199,3164.1727569000795
13,13,112,,0.25,,20,5000000,0.9109111519455886,137.37802740512416,3003.0524616078474,3142.6508298888807
