,Unnamed: 0,Depth,Test,size,Max,Features,Samples,Accuracy,Dataset Time,Training Time,Total Time
0,0,35,,0.25,,None,10000,0.7663797675741361,280.2252892520046,1.9452874919807075,283.85359246999724
1,1,39,,0.25,,None,20000,0.7921646868522672,139.2992511870107,4.231217384018237,145.26939780102109
2,2,39,,0.25,,None,30000,0.8002628730601512,138.39801871700908,7.182802795985482,147.2869575789955
3,3,43,,0.25,,None,40000,0.8059675224574071,139.43395560301724,11.142177159024868,152.31552508301684
4,4,47,,0.25,,None,50000,0.8158352619490845,138.69443784301984,14.187750795012107,154.61790818700683
5,5,46,,0.25,,None,60000,0.8107105972402329,139.63446658299654,17.32750072100316,158.75347610699828
6,6,48,,0.25,,None,70000,0.8241966412086721,138.8714822680049,21.29031603600015,161.92841754600522
7,7,47,,0.25,,None,80000,0.8199295538597781,139.59034686599622,25.31984416898922,166.73667334701167
8,8,43,,0.25,,None,90000,0.8341595781871358,139.32069606299046,30.023963635001564,171.15662539299228
9,9,48,,0.25,,None,100000,0.8269645681354012,139.3623760170012,34.20511593300034,175.3965277459938
10,10,53,,0.25,,None,110000,0.8411417938566422,138.4747845089878,37.4672198779881,177.75869176498963
11,11,52,,0.25,,None,120000,0.8388930532233949,138.7810873540002,42.76457959998515,183.43215282500026
12,12,56,,0.25,,None,130000,0.8272509605746409,138.1179076859844,44.96914992900565,184.89854153900524
13,13,50,,0.25,,None,140000,0.8378138817135228,139.17514794701128,49.40460668201558,190.4505293740076
14,14,54,,0.25,,None,150000,0.8396562330754468,137.55462930901558,55.6210017889971,195.0155850269948
15,15,46,,0.25,,None,160000,0.8375554885351026,138.31622731301468,57.74058974199579,197.95762367499992
16,16,57,,0.25,,None,170000,0.8343371734986197,139.51226477598541,63.50963570000022,204.91959514000337
17,17,57,,0.25,,None,180000,0.8467048469920394,139.1393612769898,68.6941239599837,209.70973796900944
18,18,55,,0.25,,None,190000,0.8508599372976553,139.25152826699195,72.70484635300818,213.83241638698382
19,19,60,,0.25,,None,200000,0.8392274443954679,139.01388353199582,76.55590271498659,217.47730543499347
