,Unnamed: 0,Depth,Test,size,Max,Features,Samples,Accuracy,Dataset Time,Training Time,Total Time
0,0,1,,0.25,,1,5000000,0.4998732033474316,258.03860580304166,2.6770369280129667,262.20414787798654
1,1,1,,0.25,,21,5000000,0.5014339621433994,136.9557931839954,14.654877681052312,153.1112257889472
2,2,1,,0.25,,41,5000000,0.5887876560058815,136.77073956700042,27.107186270062808,165.39257008000274
3,3,1,,0.25,,61,5000000,0.5773239586474918,135.67906311503612,39.16848855093122,176.3544975100085
4,4,1,,0.25,,81,5000000,0.6591577982341266,135.99015962693377,51.381779121002175,188.8858851979021
5,5,1,,0.25,,101,5000000,0.6591577982341266,136.37469900294673,63.3698316559894,201.2992327179527
6,6,1,,0.25,,121,5000000,0.5722792918266958,135.5202791900374,75.29284248000477,212.30924846802367
7,7,1,,0.25,,141,5000000,0.5750808178664083,136.11326781101525,87.60593944892753,225.2668524379842
8,8,1,,0.25,,161,5000000,0.6591577982341266,136.51163656404242,99.76474114693701,237.82191407098438
9,9,1,,0.25,,181,5000000,0.6591577982341266,136.42896764806937,112.96819464501459,250.93950573902112
10,10,21,,0.25,,1,5000000,0.6634552847804818,135.75303550600074,18.28160340199247,155.7437547140289
11,11,21,,0.25,,21,5000000,0.8780320199546732,135.3978123229463,187.3638957169605,324.6062632589601
12,12,21,,0.25,,41,5000000,0.9022193814083308,135.69578953902234,350.6438301799353,488.18067995994346
13,13,21,,0.25,,61,5000000,0.911550335071154,134.6408645960037,513.7563639479922,650.2431536450748
14,14,21,,0.25,,81,5000000,0.9166542003291112,136.30871414591093,678.8590143090114,817.0136123319389
15,15,21,,0.25,,101,5000000,0.9208468896421136,136.2625123829348,864.5595539410132,1002.6851764859166
16,16,21,,0.25,,121,5000000,0.9219652601171328,135.57042140094563,1023.6256123399362,1161.0170236720005
17,17,21,,0.25,,141,5000000,0.9219316610041496,135.64299806393686,1178.7002736680442,1316.1722947759556
18,18,21,,0.25,,161,5000000,0.9221148561677972,135.86927931301759,1348.108774302993,1485.8232753589982
19,19,21,,0.25,,181,5000000,0.9241052036226244,136.00754233193584,1594.6819723149526,1732.5754444439663
20,20,41,,0.25,,1,5000000,0.5806190716565083,136.02806683606468,25.672975659021176,163.94709365803283
21,21,41,,0.25,,21,5000000,0.86362200037919,135.36207422893494,252.09584341105077,389.59862632094877
22,22,41,,0.25,,41,5000000,0.8910108773128389,135.52321777900215,457.4019887469476,595.0586164209526
23,23,41,,0.25,,61,5000000,0.8993250578184736,135.13034980499648,702.0563104649773,839.2927412049612
24,24,41,,0.25,,81,5000000,0.9089336041528504,136.33650828199458,964.277499997057,1102.6982113380218
25,25,41,,0.25,,101,5000000,0.9089184045541198,136.1089762559859,1194.832961698994,1333.0359039279865
26,26,41,,0.25,,121,5000000,0.9113607400764621,136.26300850498956,1455.9769407690037,1594.3422567640664
27,27,41,,0.25,,141,5000000,0.9116511324101044,136.13277893699708,1717.8041687739317,1856.0735613279974
28,28,41,,0.25,,161,5000000,0.9111551455041588,135.64005777600687,1912.9589299539805,2050.7104787209532
29,29,50,,0.25,,1,5000000,0.5990441852335099,269.10438854794484,35.50248341402039,306.6402149529895
30,30,50,,0.25,,21,5000000,0.8624908302420816,135.65825461398344,235.79282497707757,373.5668032360263
31,31,50,,0.25,,41,5000000,0.8913052695408841,136.76220689807087,473.4061543009011,612.3247060740832
32,32,50,,0.25,,61,5000000,0.9006642224645269,135.9615895410534,764.2729967420454,902.3908928210147
33,33,50,,0.25,,81,5000000,0.9056320913127892,134.82116071204658,1015.5750405889703,1152.547469972982
34,34,50,,0.25,,101,5000000,0.908740809242636,135.62215653399468,1301.5200958279893,1439.2600489780307
35,35,50,,0.25,,121,5000000,0.9085104153250354,135.6077442910755,1565.9268192170418,1703.715029945015
36,36,50,,0.25,,141,5000000,0.9114647373309344,134.4593135570176,1822.9707440499915,1959.5613209949809
37,37,50,,0.25,,161,5000000,0.9103703662223316,134.63957103993744,2090.499714544043,2227.2407209539087
38,38,50,,0.25,,181,5000000,0.9127799026105712,134.79481894895434,2373.6158941650065,2510.57285877096
39,39,70,,0.25,,1,5000000,0.5656674663788877,135.5351002370007,36.82651488494594,174.87741966801696
40,40,70,,0.25,,21,5000000,0.8583165404433323,135.59719184495043,255.43616224406287,393.2052365130512
41,41,70,,0.25,,41,5000000,0.8893445213046376,136.2371605829103,497.44330265303137,635.8319895289605
42,42,70,,0.25,,61,5000000,0.8970163187691845,135.43640464299824,788.2315079580293,925.8417557020441
43,43,70,,0.25,,81,5000000,0.9079552299819283,135.4717244360363,1105.7981844019378,1243.4219102790812
44,44,70,,0.25,,101,5000000,0.9066984631605726,136.27968948101625,1374.718850384001,1513.1864028150449
45,45,70,,0.25,,121,5000000,0.9075496406894858,134.97508404694963,1662.960179526941,1800.0811726879328
